port_name,country,hazard,downtime
Malai,Fiji,earthquake,0.06901823774577681
Alotoa,Papua New Guinea,earthquake,0.0
Panjang,Indonesia,earthquake,0.038305510127971065
Hannan Ko,Japan,earthquake,0.0
Tianjin Xin Gang,China,earthquake,0.0
Kaba Burnu,Turkey,earthquake,0.01697265625
Aomori Ko,Japan,earthquake,0.0
Cilacap,Indonesia,earthquake,0.010738439078282827
Haifa,Israel,earthquake,0.0
Maumere,Indonesia,earthquake,0.038305510127971065
Gorontalo,Indonesia,earthquake,0.0
Maracaibo,Venezuela,earthquake,0.0
Merak Mas Terminal,Indonesia,earthquake,0.01069821502966034
Toros Gubre,Turkey,earthquake,0.01069821502966034
Niigata Ko,Japan,earthquake,0.12431132744259285
Ishikari Bay New Port,Japan,earthquake,0.0
Jayapura,Indonesia,earthquake,0.0
Oita Ko,Japan,earthquake,0.01697265625
Bitung,Indonesia,earthquake,0.01697265625
Kanazawa,Japan,earthquake,0.038305510127971065
Antalya,Turkey,earthquake,0.0
Elevsis,Greece,earthquake,0.01690908006865038
Hamada Ko,Japan,earthquake,0.0
Point Richmond,U.S.A.,earthquake,0.047508426161283895
Tokachi,Japan,earthquake,0.06901823774577681
Puerto Quetzal,Guatemala,earthquake,0.026745537574150855
Nowshahr Port,Iran,earthquake,0.0
Anchorage,U.S.A.,earthquake,0.0
Yalova,Turkey,earthquake,0.0
Sakai-Senboku,Japan,earthquake,0.01697265625
Pichilingue,Mexico,earthquake,0.0
Montego Bay,Jamaica,earthquake,0.0
Big Creek,Belize,earthquake,0.0
Hakodate Ko,Japan,earthquake,0.0
Mejillones,Chile,earthquake,0.09205970062466773
Tomakomai Ko,Japan,earthquake,0.03308031486742424
Antofagasta,Chile,earthquake,0.031899649077661005
Kimbe,Papua New Guinea,earthquake,0.01069821502966034
Tagonoura Ko,Japan,earthquake,0.1544131373269274
Porto Di Lido-Venezia,Italy,earthquake,0.0
Port Esquivel,Jamaica,earthquake,0.0
Jimenez,Philippines,earthquake,0.01069821502966034
Buenaventura,Colombia,earthquake,0.0
Coronei,Chile,earthquake,0.012253308420691233
Anzali Port,Iran,earthquake,0.0
Puerto Cortes,Honduras,earthquake,0.0
Kawasaki Ko,Japan,earthquake,0.2545157148186239
Yakacik,Turkey,earthquake,0.00267864836605071
Trieste,Italy,earthquake,0.0
Broome,Australia,earthquake,0.0
Chi-Lung,Taiwan,earthquake,0.0
Yokkaichi,Japan,earthquake,0.0
Baubau,Indonesia,earthquake,0.01069821502966034
Benoa,Indonesia,earthquake,0.0
Samsun,Turkey,earthquake,0.0
Marugame Ko,Japan,earthquake,0.0
San Diego,U.S.A.,earthquake,0.013372395833333332
Benicia,U.S.A.,earthquake,0.00267864836605071
Al Aqabah,Jordan,earthquake,0.01697265625
Apra Harbor,Guam,earthquake,0.010738439078282827
Parepare,Indonesia,earthquake,0.0
Acapulco,Mexico,earthquake,0.0
Santiago De Cuba,Cuba,earthquake,0.0
Banten,Indonesia,earthquake,0.03308031486742424
Ishinomaki Ko,Japan,earthquake,0.2221768772846589
Izhevskoye,Russia,earthquake,0.0
Ube Ko,Japan,earthquake,0.0
Piraievs,Greece,earthquake,0.00267864836605071
Mikawa,Japan,earthquake,0.008104482323232323
Pelabuhan Sansakan,Malaysia,earthquake,0.0
General Santos,Philippines,earthquake,0.049003725157631406
Luganville,Vanuatu,earthquake,0.3302051345028678
Iquique,Chile,earthquake,0.0
Tanjung Benete,Indonesia,earthquake,0.013372395833333332
Saganoseki Ko,Japan,earthquake,0.0
Onomichi-Itozaki,Japan,earthquake,0.0
Seghe,Solomon Islands,earthquake,0.01690908006865038
Surigao City,Philippines,earthquake,0.10254505927960388
Masao,Philippines,earthquake,0.01069821502966034
San Fransisco,U.S.A.,earthquake,0.03668057528409091
Puerto Del Callao,Peru,earthquake,0.0
Salerno,Italy,earthquake,0.0
Zonguldak,Turkey,earthquake,0.008104482323232323
JSW Jaigad Port Limited,India,earthquake,0.008104482323232323
Buka,Papua New Guinea,earthquake,0.10254505927960388
Al Ladhiqiyah,Syria,earthquake,0.0
Ensenada,Mexico,earthquake,0.0
Gulluk,Turkey,earthquake,0.0
Picton,New Zealand,earthquake,0.038305510127971065
Corinto,Nicaragua,earthquake,0.01069821502966034
Tsingeli,Greece,earthquake,0.038305510127971065
Port Nador,Morocco,earthquake,0.0
Hua-Lien Kang,Taiwan,earthquake,0.01069821502966034
Limassol,Cyprus,earthquake,0.0
Porto Di Malamocco,Italy,earthquake,0.0
Tekirdag,Turkey,earthquake,0.0
Bahia De Valparaiso,Chile,earthquake,0.16372943488541244
Haydarpasa,Turkey,earthquake,0.0
Kieta,Papua New Guinea,earthquake,0.2094957466414703
Rada De Arica,Chile,earthquake,0.0
Rota,Northern Mariana Islands,earthquake,0.0
Butuan City,Philippines,earthquake,0.038305510127971065
Iraklion,Greece,earthquake,0.0
Oakland,U.S.A.,earthquake,0.03668057528409091
Yokosuka Ko,Japan,earthquake,0.3302051345028678
Aiyion,Greece,earthquake,0.06510130667579268
Eregli,Turkey,earthquake,0.0
Navlakhi,India,earthquake,0.0
Ndora,Solomon Islands,earthquake,0.01069821502966034
Vanimo,Papua New Guinea,earthquake,0.0
Ofunato,Japan,earthquake,0.3302051345028678
Ormoc,Philippines,earthquake,0.13498130194572935
Hofu,Japan,earthquake,0.0
Volos,Greece,earthquake,0.038305510127971065
Golfito,Costa Rica,earthquake,0.01069821502966034
Manta,Ecuador,earthquake,0.0
Paita,Peru,earthquake,0.03209464508898102
Catania,Italy,earthquake,0.0
Puerto De Hencan,Honduras,earthquake,0.0
Mbulo,Solomon Islands,earthquake,0.038305510127971065
Pozzuoli,Italy,earthquake,0.0
Noshiro Ko,Japan,earthquake,0.038305510127971065
Marina Di Carrara,Italy,earthquake,0.01069821502966034
Lirquen,Chile,earthquake,0.038305510127971065
La Spezia,Italy,earthquake,0.029480054450757576
Izmir,Turkey,earthquake,0.0
Wewak Harbor,Papua New Guinea,earthquake,0.0
Kavala,Greece,earthquake,0.0
Puerto Caldera,Costa Rica,earthquake,0.0
Botas,Turkey,earthquake,0.01069821502966034
Madang,Papua New Guinea,earthquake,0.0
Patrai,Greece,earthquake,0.10254505927960388
Famagusta,Turkey,earthquake,0.0
Ambon,Indonesia,earthquake,0.038305510127971065
Shibushi Wan,Japan,earthquake,0.0
Matsusaka,Japan,earthquake,0.0
Puerto San Antonio,Chile,earthquake,0.21596601224566891
Caleta Patillos,Chile,earthquake,0.0
Yingkou,China,earthquake,0.0
Bahia San Vicente,Chile,earthquake,0.05685975191885965
Tachibana,Japan,earthquake,0.0
Matsuyama,Japan,earthquake,0.0
Kamaishi Ko,Japan,earthquake,0.24815497300512204
Naoetsu Ko,Japan,earthquake,0.1937222985241334
Derince Burnu,Turkey,earthquake,0.0
Puerto Miranda,Venezuela,earthquake,0.0
Iwakuni Ko,Japan,earthquake,0.010738439078282827
Amuay (Bahia De Amuay),Venezuela,earthquake,0.0
Augusta,Italy,earthquake,0.010738439078282827
Dhaka,Bangladesh,earthquake,0.0
Put Put,Papua New Guinea,earthquake,0.047621807686456116
Tokuyama,Japan,earthquake,0.010738439078282827
Cayo Moa Grande,Cuba,earthquake,0.0
Swanport,U.S.A.,earthquake,0.047508426161283895
Batumi,Georgia,earthquake,0.0
Makhachkala Port,Russia,earthquake,0.0
Bahia Quintero (Ventanas),Chile,earthquake,0.1241061589843662
Fujayrah Harbor,United Arab Emirates,earthquake,0.0
Puerto Chanaral,Chile,earthquake,0.1080588364398757
Dhekelia,Cyprus,earthquake,0.0
Funabashi,Japan,earthquake,0.21570661168046035
Puerto Bayovar,Peru,earthquake,0.04227270017162595
Salina Cruz,Mexico,earthquake,0.0
Fukui Ko,Japan,earthquake,0.010738439078282827
Botas Natural Gas Terminal,Turkey,earthquake,0.01697265625
Al Hamriyah LPG Terminal,United Arab Emirates,earthquake,0.0
Kisarazu Ko,Japan,earthquake,0.30831545661471643
Aliaga,Turkey,earthquake,0.01697265625
Jose Terminal,Venezuela,earthquake,0.0
Bamdar-E Pars Terminal,Iran,earthquake,0.0
Puerto La Cruz,Venezuela,earthquake,0.0
Point Fortin,Trinidad and Tobago,earthquake,0.0
Blanglancang,Indonesia,earthquake,0.047508426161283895
Kulevi Oil Terminal,Georgia,earthquake,0.0
Rosarito,Mexico,earthquake,0.01690908006865038
La Libertad,Ecuador,earthquake,0.0
Charco Azul,Panama,earthquake,0.1270796106217827
El Guamache,Venezuela,earthquake,0.01069821502966034
Mailiao,Taiwan,earthquake,0.0
Ocho Rios,Jamaica,earthquake,0.0
Oil terminal Agioi,Greece,earthquake,0.1137018675654572
Ormos Aliveriou,Greece,earthquake,0.04733046908298244
Chiriqui Grande,Panama,earthquake,0.0
Conchan Oil Terminal,Peru,earthquake,0.0
El Palito,Venezuela,earthquake,0.0
Kikuma Ko,Japan,earthquake,0.0
Sint Nicolaas Baai,Aruba,earthquake,0.0
Sibolga,Indonesia,earthquake,0.12739651903510868
Gela,Italy,earthquake,0.0
Falmouth,Jamaica,earthquake,0.0
Aspropirgos,Greece,earthquake,0.056646766641467505
Tanjung Geren,Indonesia,earthquake,0.032956402613140895
Kiire,Japan,earthquake,0.01690908006865038
Rabaul,Papua New Guinea,earthquake,0.21570661168046035
EL Segundo,U.S.A.,earthquake,0.05275697355455784
Sendai-Shiogama,Japan,earthquake,0.30210459157572644
Kashima Ko,Japan,earthquake,0.2574712705636071
Chiba Ko,Japan,earthquake,0.2574712705636071
Uleelheue,Indonesia,earthquake,0.19056404933972776
Bullen Baai,Curacao,earthquake,0.00807412455068705
Neiafu,Tonga,earthquake,0.1967749143787178
Delta Terminal,Turkey,earthquake,0.12603316158462127
Port Vila,Vanuatu,earthquake,0.4910914641947742
Hitachi,Japan,earthquake,0.5493859518282832
Onahama Ko,Japan,earthquake,0.520278651101148
Lafarge,Indonesia,earthquake,0.37278306600239675
Cartagena,Colombia,TC,1.574590038526726
Avatiu,Cook Islands,TC,0.165932293896018
Yiantian,China,TC,2.6962188495383494
Morehead City,U.S.A.,TC,1.7246478797054903
Alofi,Niue,TC,0.3325066106318501
Hachinohe Ko,Japan,TC,0.19026647461659837
Bandar Abbas,Iran,TC,0.14504274203582992
Zhouliwang,China,TC,0.6202413376454348
Ajman,United Arab Emirates,TC,0.16189530342309702
Yantai,China,TC,2.3484906472891156
Saipan,Northern Mariana Islands,TC,8.3471527866477
Ash Shariqah,United Arab Emirates,TC,0.15850501250266924
Palm Beach,U.S.A.,TC,3.0020148341188895
Itaqui,Brazil,TC,0.0030201404633729604
Qingdao Gang,China,TC,1.2062985258049141
Milwaukee,U.S.A.,TC,0.013355170996750447
Dubayy,United Arab Emirates,TC,0.09026373041680301
Calumet Harbor,U.S.A.,TC,0.02768756529145257
New Orleans,U.S.A.,TC,0.7419121767362576
Puerto Colon,Panama,TC,0.0041356481392562814
Sundaomen Wuz,China,TC,0.4237363866141287
Ofunato,Japan,TC,0.12910034821444671
Al Hamriyah LPG Terminal,United Arab Emirates,TC,0.09755927698681352
Bohai Bay,China,TC,0.4132761352405997
Gove,Australia,TC,0.7328648481106094
Dalian,China,TC,1.0224006744872367
Thamshamm,Norway,TC,0.027585555603849066
Kristiansund,Norway,TC,0.029339368425243494
Alesund,Norway,TC,0.05861043910604396
Gourd Shanzui,China,TC,0.5248102328995184
Timaru,New Zealand,TC,0.43216258095669496
Port Lyttelton,New Zealand,TC,0.4590824687840411
Ardalstangen,Norway,TC,0.056782870336001434
Nauru,Nauru,TC,0.05865774906376165
Grand Haven,U.S.A.,TC,0.05192081755632844
Onahama Ko,Japan,TC,0.39356873698237305
Brevik,Norway,TC,0.029862891529998516
Porsgrunn,Norway,TC,0.029917583219794677
Oslo,Norway,TC,0.0011513154638743187
Slagenstangen,Norway,TC,0.055337807528887055
Bamdar-E Shahid Reajie,Iran,TC,0.1539759132967941
Fredrikstad,Norway,TC,0.028003081127338892
Brofjorden,Sweden,TC,0.05283534359164083
Goteborg,Sweden,TC,0.0005476039921269456
Port Cartier,Canada,TC,0.6434705462653924
Apra Harbor,Guam,TC,6.44281886367377
Sendai-Shiogama,Japan,TC,1.540495240727671
Dampier,Australia,TC,4.015362668936636
Manzanillo,Panama,TC,0.003972054618763284
Puerto Cristobal,Panama,TC,0.0039012610703236194
Aveiro,Portugal,TC,0.2772067671345737
Tampa,U.S.A.,TC,2.9108232055489416
Ju Aymah LPG Terminal,Saudi Arabia,TC,0.013662387939612866
Figueira Da Foz,Portugal,TC,0.24105419145761456
Kawasaki Ko,Japan,TC,2.7939011749771963
Huizhou,China,TC,4.290721276470154
Vung Tau,Vietnam,TC,3.2068392591817774
Al Jubayl,Saudi Arabia,TC,0.013103023430595856
Yokosuka Ko,Japan,TC,3.2289627607825118
Ocho Rios,Jamaica,TC,4.2855723673710635
Sines,Portugal,TC,0.254269266862983
Mina Saqr,United Arab Emirates,TC,0.16046584610600637
Ras Al Mishab,Saudi Arabia,TC,0.005046818988339427
Huelva,Spain,TC,0.22521945817434083
Mina Al Ahmadi,Kuwait,TC,0.0012475337907702972
Haimen,China,TC,3.5156838541056366
Chester,U.S.A.,TC,0.4335012890529
Al Kuwayt,Kuwait,TC,0.000502886303463651
Umm Qasr,Iraq,TC,0.0004906474197208243
Ras Tannurah,Saudi Arabia,TC,0.014746458889212576
Yokohama Ko,Japan,TC,2.830437449682901
Matanzas,Cuba,TC,2.8973387038759206
Damman,Saudi Arabia,TC,0.026137380114362816
Puerto Moin,Costa Rica,TC,0.6988829522487534
Tokyo Ko,Japan,TC,2.5938871189467347
Brownsville,U.S.A.,TC,1.3928657335711667
Tuxpan,Mexico,TC,1.0071626876562223
Nantes,France,TC,0.3700407800542802
Galveston,U.S.A.,TC,0.5080006549004908
Texas City,U.S.A.,TC,1.4362964580738884
Houston,U.S.A.,TC,0.7054123348486812
Bukhta Vanino,Russia,TC,1.5141912365398207
Tampico,Mexico,TC,1.0975707826418153
Bayonne,France,TC,0.19009254933656813
Altamira,Mexico,TC,1.8458548639900616
Puerto De Pasajes,Spain,TC,0.3307658162297177
Chiba Ko,Japan,TC,3.5417126067870317
Sitrah,Bahrain,TC,0.027337803604925822
Lake Charles,U.S.A.,TC,1.8234819668465896
Tai-Chung Kang,Taiwan,TC,5.41057316153992
Gijon,Spain,TC,0.3977482380798344
Progreso,Mexico,TC,1.9265678809023112
Kisarazu Ko,Japan,TC,4.969342837251391
Beaumont,U.S.A.,TC,1.329617849063895
Kunsan,South Korea,TC,4.228977108544469
Kashima Ko,Japan,TC,0.8263374558393899
Gwangyang Hang,South Korea,TC,3.868679070913672
Port Noro,Solomon Islands,TC,0.15340220016802275
Kilifi,Kenya,TC,0.057483954620148756
Seghe,Solomon Islands,TC,0.1495263078926105
Covenas Offshore Term.,Colombia,TC,0.6575854163518974
Ndora,Solomon Islands,TC,0.15383923015022313
Lamu,Kenya,TC,0.028320365259457775
Rabaul,Papua New Guinea,TC,0.08366097254936526
Put Put,Papua New Guinea,TC,0.07623829865533899
Daru,Papua New Guinea,TC,0.05459568038461296
Bajo Grande,Venezuela,TC,1.684696962446636
Kagoshima Ko,Japan,TC,1.308849529362614
Maracaibo,Venezuela,TC,1.193603663005335
Kiire,Japan,TC,5.245891699380318
Jose Terminal,Venezuela,TC,3.2182684079364647
Puerto La Cruz,Venezuela,TC,1.0063187919102454
Golfito,Costa Rica,TC,0.0019058978226602751
Puerto Caldera,Costa Rica,TC,0.6494719310661171
Bridgetown,Barbados,TC,3.1206831484607234
Victoria,Seychelles,TC,0.3078830536343404
Barbor's Point,U.S.A.,TC,1.4483532923801121
Albany,Australia,TC,0.18767475469224815
Veracruz,Mexico,TC,0.8649979886599087
Madang,Papua New Guinea,TC,0.08043768952060462
Lae,Papua New Guinea,TC,0.21329833593471498
Niigata Ko,Japan,TC,0.3685401511699299
Amagasaki,Japan,TC,4.616664459232226
Kobe,Japan,TC,3.5014127887335387
Sakai-Senboku,Japan,TC,4.058105087653916
Maputo,Mozambique,TC,0.45246244847272915
Port Alma,Australia,TC,2.2036206726724563
Osaka,Japan,TC,3.2010728690703782
Mobile,U.S.A.,TC,0.7150013386125716
Songkhla Harbor,Thailand,TC,0.15993737335905703
Zamboanga,Philippines,TC,2.0030425823262807
Pascagoula,U.S.A.,TC,1.4603419380039866
Roseau,Dominica,TC,6.022507832676068
Gulfport,U.S.A.,TC,1.371397259019435
Bluff Harbor,New Zealand,TC,0.210004480477801
Manila,Philippines,TC,4.649418554816853
Belize City,Belize,TC,1.5731598173557872
Subio Bay,Philippines,TC,5.643188352707583
Sakata Ko,Japan,TC,1.2316776535732814
Port Vila,Vanuatu,TC,3.0990872051164002
Zanzibar,Tanzania,TC,0.08804221577004105
Honiara,Solomon Islands,TC,1.2097369470011772
Haikou,China,TC,3.966346486062062
Mombasa,Kenya,TC,0.03110587451869878
Milner Bay,Australia,TC,0.745681591944541
Honolulu,U.S.A.,TC,1.265970653532051
Port Walcott,Australia,TC,4.137267263228275
Drogheda,Ireland,TC,0.7040112160678123
Port Hedland,Australia,TC,2.586578843791761
Onslow,Australia,TC,1.2964883810665664
Kinuura Ko,Japan,TC,4.57718481393217
Ujung Pandang,Indonesia,TC,0.6121209566714761
PLTU Semen Tonasa,Indonesia,TC,0.32416151305876
Kota Baru,Indonesia,TC,0.10168272777383631
Stagen,Indonesia,TC,0.0028535008872471383
Banjarmasin,Indonesia,TC,0.08504900421837762
Sampit,Indonesia,TC,0.10085634407002743
Bangkok,Thailand,TC,0.03618650855653087
Berbera,Somalia,TC,0.03467342979279327
Kupang,Indonesia,TC,1.7033635454578688
Maumere,Indonesia,TC,0.1394180098598478
Pago Pago Harbor,American Samoa,TC,0.5793057741036254
Apia,Samoa,TC,2.5616775832138408
Kushiro Ko,Japan,TC,0.0685925758575344
Funabashi,Japan,TC,3.261910502878353
Pusan,South Korea,TC,3.0059076354057592
Davisville Depot,U.S.A.,TC,1.775679869636894
Newport News,U.S.A.,TC,1.1968345273000647
Bushehr,Iran,TC,0.013481271369491305
Lobito,Angola,TC,0.0006882323188968011
Ishinomaki Ko,Japan,TC,1.3585259519162336
Founchon,U.S.A.,TC,0.6358605312452194
Lazaro Cardenas,Mexico,TC,1.5016243878412647
Point Murat,Australia,TC,1.5983296769055164
Zhoushan,China,TC,4.152142073763605
South Louisiana,U.S.A.,TC,1.4071723518634214
Mishima-Kawanoe Ko,Japan,TC,3.8285787082988167
Seattle,U.S.A.,TC,0.00021179636636293846
Anchorage,U.S.A.,TC,0.0009720378565292835
Fukuyama,Japan,TC,3.889183063725099
Luanda,Angola,TC,0.0004968069242738326
Port Manatee,U.S.A.,TC,0.41430065658797205
Mizushima Ko,Japan,TC,3.923408294654081
Port Au Prince,Haiti,TC,3.94509963523172
Chennai (Madras),India,TC,0.6828240514214126
Cienfuegos,Cuba,TC,1.419684764656159
Port Owendo,Gabon,TC,0.00012455501955966597
Port Gentil,Gabon,TC,0.00012928244515635174
Point Noire,Republic of Congo,TC,0.0003494162900114053
Malongo,Angola,TC,0.0006127104099526823
Soyo Angola LNG Terminal,Angola,TC,0.0006386991623564368
Shekou,China,TC,3.136807225780861
Jacksonville,U.S.A.,TC,2.636534335873532
Sydney,U.S.A.,TC,1.127047213254099
Salina Cruz,Mexico,TC,0.44881535819028556
Punta Cardon,Venezuela,TC,2.2506332695525244
Amuay (Bahia De Amuay),Venezuela,TC,1.9311485786343405
Xiuyu,China,TC,5.744384474817209
Fujayrah Harbor,United Arab Emirates,TC,0.1632299568396164
Xiamen,China,TC,3.8927726697651366
Fuzhou,China,TC,5.527802326362633
Porto Pecem,Brazil,TC,0.0027924459467084145
Porto De Mucuripe,Brazil,TC,0.0027497902351126756
Muqdisho,Somalia,TC,0.0008685861431164564
Acajutla,El Salvador,TC,0.6466130612492441
Fremantle,Australia,TC,0.0806699248276924
